"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 26 20:54:39 CST 2022","Thu May 26 20:54:39 CST 2022","1","","test_a_title_new","","","","输入正确账号，密码登陆{'username': 'zz', 'password': '123456'}"," 测试登陆用例"
"passed","Thu May 26 20:54:39 CST 2022","Thu May 26 20:54:39 CST 2022","0","","test_a_title_new","","","","输入正确账号，密码登陆{'username': 'qs', 'password': '123456'}"," 测试登陆用例"
"failed","Thu May 26 20:54:39 CST 2022","Thu May 26 20:54:39 CST 2022","1","","test_a_title_new","","","","输入错误账号，密码登陆{'username': 'xu', 'password': '111111'}"," 测试登陆用例"
